delay_type.Door,delay_type.Forklift,delay_type.Transport,loop_bound,branch_tracking,log_size,delay_amount.Door,delay_amount.Forklift,delay_amount.Transport,role_amount.Door,role_amount.Forklift,role_amount.Transport,verification_result,time
E,E,E,2,True,15,1,2,2,1,1,1,True,0.117400169
E,E,E,2,True,15,1,2,2,2,1,1,True,1.45087409
E,E,E,2,True,15,2,2,2,1,1,1,True,0.110021114
E,E,E,2,True,15,2,2,2,2,1,1,True,5.729874611
E,E,E,2,True,15,3,2,2,1,1,1,True,0.133317471
E,E,E,2,True,15,3,2,2,2,1,1,True,12.07700706
E,E,E,2,True,15,4,2,2,1,1,1,True,0.16177702
E,E,E,2,True,15,4,2,2,2,1,1,True,17.98052526
E,E,E,2,True,15,5,2,2,1,1,1,True,0.131880045
E,E,E,2,True,15,5,2,2,2,1,1,True,26.39443731
E,E,E,2,True,15,6,2,2,1,1,1,True,0.137373209
E,E,E,2,True,15,6,2,2,2,1,1,True,33.48029852
E,E,E,2,True,15,7,2,2,1,1,1,True,0.142531157
E,E,E,2,True,15,7,2,2,2,1,1,True,42.06240249
E,E,E,2,True,15,8,2,2,1,1,1,True,0.158604622
E,E,E,2,True,15,8,2,2,2,1,1,True,46.42776704
E,E,E,2,True,15,9,2,2,1,1,1,True,0.138484955
E,E,E,2,True,15,9,2,2,2,1,1,True,52.29945517
E,E,E,2,True,15,10,2,2,1,1,1,True,0.160589457
E,E,E,2,True,15,10,2,2,2,1,1,True,53.97169805
E,E,E,2,True,15,11,2,2,1,1,1,True,0.161747694
E,E,E,2,True,15,11,2,2,2,1,1,True,55.96126628
E,E,E,2,True,15,12,2,2,1,1,1,True,0.180552244
E,E,E,2,True,15,12,2,2,2,1,1,True,56.86948824
E,E,E,2,True,15,13,2,2,1,1,1,True,0.149046898
E,E,E,2,True,15,13,2,2,2,1,1,True,57.11938024
E,E,E,2,True,15,14,2,2,1,1,1,True,0.156247139
E,E,E,2,True,15,14,2,2,2,1,1,True,61.0437243
E,E,E,2,True,15,15,2,2,1,1,1,True,0.155823469
E,E,E,2,True,15,15,2,2,2,1,1,True,57.36762786
E,E,E,2,True,15,16,2,2,1,1,1,True,0.170410633
E,E,E,2,True,15,16,2,2,2,1,1,True,69.57642984
E,E,E,2,True,15,17,2,2,1,1,1,True,0.186077356
E,E,E,2,True,15,17,2,2,2,1,1,True,65.97127676
E,E,E,2,True,15,18,2,2,1,1,1,True,0.153025389
E,E,E,2,True,15,18,2,2,2,1,1,True,59.70818591
E,E,E,2,True,15,19,2,2,1,1,1,True,0.171499014
E,E,E,2,True,15,19,2,2,2,1,1,True,63.57825613
E,E,E,2,True,15,20,2,2,1,1,1,True,0.161985397
E,E,E,2,True,15,20,2,2,2,1,1,True,60.70361996
S,E,E,2,True,15,1,2,2,1,1,1,True,0.144534111
S,E,E,2,True,15,1,2,2,2,1,1,True,36.18621397
S,E,E,2,True,15,2,2,2,1,1,1,True,0.164473295
S,E,E,2,True,15,2,2,2,2,1,1,True,53.16593719
S,E,E,2,True,15,3,2,2,1,1,1,True,0.12391305
S,E,E,2,True,15,3,2,2,2,1,1,True,56.93496799
S,E,E,2,True,15,4,2,2,1,1,1,True,0.134002209
S,E,E,2,True,15,4,2,2,2,1,1,True,56.68346357
S,E,E,2,True,15,5,2,2,1,1,1,True,0.143139124
S,E,E,2,True,15,5,2,2,2,1,1,True,57.61556435
S,E,E,2,True,15,6,2,2,1,1,1,True,0.157596111
S,E,E,2,True,15,6,2,2,2,1,1,True,56.88154459
S,E,E,2,True,15,7,2,2,1,1,1,True,0.136930466
S,E,E,2,True,15,7,2,2,2,1,1,True,55.63373351
S,E,E,2,True,15,8,2,2,1,1,1,True,0.144058466
S,E,E,2,True,15,8,2,2,2,1,1,True,55.80405283
S,E,E,2,True,15,9,2,2,1,1,1,True,0.132297754
S,E,E,2,True,15,9,2,2,2,1,1,True,56.47702694
S,E,E,2,True,15,10,2,2,1,1,1,True,0.149614811
S,E,E,2,True,15,10,2,2,2,1,1,True,56.49592566
S,E,E,2,True,15,11,2,2,1,1,1,True,0.122055769
S,E,E,2,True,15,11,2,2,2,1,1,True,55.99707198
S,E,E,2,True,15,12,2,2,1,1,1,True,0.168312788
S,E,E,2,True,15,12,2,2,2,1,1,True,55.85959172
S,E,E,2,True,15,13,2,2,1,1,1,True,0.14635253
S,E,E,2,True,15,13,2,2,2,1,1,True,56.67499542
S,E,E,2,True,15,14,2,2,1,1,1,True,0.154558659
S,E,E,2,True,15,14,2,2,2,1,1,True,55.30544567
S,E,E,2,True,15,15,2,2,1,1,1,True,0.126530647
S,E,E,2,True,15,15,2,2,2,1,1,True,55.68051267
S,E,E,2,True,15,16,2,2,1,1,1,True,0.132467985
S,E,E,2,True,15,16,2,2,2,1,1,True,56.11011457
S,E,E,2,True,15,17,2,2,1,1,1,True,0.15729785
S,E,E,2,True,15,17,2,2,2,1,1,True,55.12504816
S,E,E,2,True,15,18,2,2,1,1,1,True,0.130530119
S,E,E,2,True,15,18,2,2,2,1,1,True,55.26105261
S,E,E,2,True,15,19,2,2,1,1,1,True,0.126787424
S,E,E,2,True,15,19,2,2,2,1,1,True,56.60324883
S,E,E,2,True,15,20,2,2,1,1,1,True,0.141355753
S,E,E,2,True,15,20,2,2,2,1,1,True,58.05482697
